,Gebiet,Total,Jahr
826,Schwamendingen-Mitte,10274,2004
827,Hirzenbach,11336,2004
828,Kreis 1,5700,2003
829,Rathaus,3149,2003
830,Hochschulen,723,2003
831,Lindenhof,942,2003
832,City,886,2003
833,Kreis 2,28526,2003
834,Wollishofen,15468,2003
835,Leimbach,4830,2003
836,Enge,8228,2003
837,Kreis 3,45509,2003
838,Alt-Wiedikon,14459,2003
839,Friesenberg,10387,2003
840,Sihlfeld,20663,2003
841,Kreis 4,26909,2003
842,Werd,3788,2003
843,Langstrasse,10304,2003
844,Hard,12817,2003
845,Kreis 5,12246,2003
846,Gewerbeschule,9781,2003
847,Escher Wyss,2465,2003
848,Kreis 6,29571,2003
849,Unterstrass,19882,2003
850,Oberstrass,9689,2003
851,Kreis 7,33417,2003
852,Fluntern,7102,2003
853,Hottingen,10017,2003
854,Hirslanden,6795,2003
855,Witikon,9503,2003
856,Kreis 8,15177,2003
857,Seefeld,4996,2003
858,Mühlebach,5434,2003
859,Weinegg,4747,2003
860,Kreis 9,45341,2003
861,Albisrieden,17018,2003
862,Altstetten,28323,2003
863,Kreis 10,36286,2003
864,Höngg,20810,2003
865,Wipkingen,15476,2003
866,Kreis 11,57442,2003
867,Affoltern,18787,2003
868,Oerlikon,19217,2003
869,Seebach,19438,2003
870,Kreis 12,28404,2003
871,Saatlen,6583,2003
872,Schwamendingen-Mitte,10389,2003
873,Hirzenbach,11432,2003
874,Kreis 1,5715,2002
875,Rathaus,3128,2002
876,Hochschulen,727,2002
877,Lindenhof,950,2002
878,City,910,2002
879,Kreis 2,28731,2002
880,Wollishofen,15771,2002
881,Leimbach,4681,2002
882,Enge,8279,2002
883,Kreis 3,45730,2002
884,Alt-Wiedikon,14811,2002
885,Friesenberg,10188,2002
886,Sihlfeld,20731,2002
887,Kreis 4,27153,2002
888,Werd,3850,2002
889,Langstrasse,10447,2002
890,Hard,12856,2002
891,Kreis 5,12416,2002
892,Gewerbeschule,9900,2002
893,Escher Wyss,2516,2002
894,Kreis 6,29588,2002
895,Unterstrass,19863,2002
896,Oberstrass,9725,2002
897,Kreis 7,33442,2002
898,Fluntern,7069,2002
899,Hottingen,10021,2002
900,Hirslanden,6781,2002
901,Witikon,9571,2002
902,Kreis 8,15348,2002
903,Seefeld,5122,2002
904,Mühlebach,5450,2002
905,Weinegg,4776,2002
906,Kreis 9,45445,2002
907,Albisrieden,16669,2002
908,Altstetten,28776,2002
909,Kreis 10,36065,2002
910,Höngg,20570,2002
911,Wipkingen,15495,2002
912,Kreis 11,56455,2002
913,Affoltern,18705,2002
914,Oerlikon,18778,2002
915,Seebach,18972,2002
916,Kreis 12,28470,2002
917,Saatlen,6663,2002
918,Schwamendingen-Mitte,10373,2002
919,Hirzenbach,11434,2002
920,Kreis 1,5696,2001
921,Rathaus,3103,2001
922,Hochschulen,738,2001
923,Lindenhof,948,2001
924,City,907,2001
925,Kreis 2,28698,2001
926,Wollishofen,15928,2001
927,Leimbach,4668,2001
928,Enge,8102,2001
929,Kreis 3,45438,2001
930,Alt-Wiedikon,14692,2001
931,Friesenberg,10042,2001
932,Sihlfeld,20704,2001
933,Kreis 4,26955,2001
934,Werd,3838,2001
935,Langstrasse,10276,2001
936,Hard,12841,2001
937,Kreis 5,11968,2001
938,Gewerbeschule,9835,2001
939,Escher Wyss,2133,2001
940,Kreis 6,29595,2001
941,Unterstrass,19831,2001
942,Oberstrass,9764,2001
943,Kreis 7,33676,2001
944,Fluntern,7221,2001
945,Hottingen,10096,2001
946,Hirslanden,6800,2001
947,Witikon,9559,2001
948,Kreis 8,15327,2001
