,index,Gebiet,Total,Jahr
758,31,Oberstrass,9494,2005
759,32,Kreis 7,34148,2005
760,33,Fluntern,7325,2005
761,34,Hottingen,10100,2005
762,35,Hirslanden,6859,2005
763,36,Witikon,9864,2005
764,37,Kreis 8,15343,2005
765,38,Seefeld,4923,2005
766,39,Mühlebach,5577,2005
767,40,Weinegg,4843,2005
768,41,Kreis 9,45504,2005
769,42,Albisrieden,17226,2005
770,43,Altstetten,28278,2005
771,44,Kreis 10,36219,2005
772,45,Höngg,20773,2005
773,46,Wipkingen,15446,2005
774,47,Kreis 11,58275,2005
775,48,Affoltern,18733,2005
776,49,Oerlikon,19663,2005
777,50,Seebach,19879,2005
778,51,Kreis 12,28236,2005
779,52,Saatlen,6649,2005
780,53,Schwamendingen-Mitte,10322,2005
781,54,Hirzenbach,11265,2005
782,9,Kreis 1,5630,2004
783,10,Rathaus,3115,2004
784,11,Hochschulen,725,2004
785,12,Lindenhof,947,2004
786,13,City,843,2004
787,14,Kreis 2,28486,2004
788,15,Wollishofen,15499,2004
789,16,Leimbach,4778,2004
790,17,Enge,8209,2004
791,18,Kreis 3,45444,2004
792,19,Alt-Wiedikon,14551,2004
793,20,Friesenberg,10326,2004
794,21,Sihlfeld,20567,2004
795,22,Kreis 4,26886,2004
796,23,Werd,3763,2004
797,24,Langstrasse,10319,2004
798,25,Hard,12804,2004
799,26,Kreis 5,12397,2004
800,27,Gewerbeschule,9773,2004
801,28,Escher Wyss,2624,2004
802,29,Kreis 6,29288,2004
803,30,Unterstrass,19742,2004
804,31,Oberstrass,9546,2004
805,32,Kreis 7,33728,2004
806,33,Fluntern,7285,2004
807,34,Hottingen,9926,2004
808,35,Hirslanden,6806,2004
809,36,Witikon,9711,2004
810,37,Kreis 8,15310,2004
811,38,Seefeld,4993,2004
812,39,Mühlebach,5546,2004
813,40,Weinegg,4771,2004
814,41,Kreis 9,45455,2004
815,42,Albisrieden,17087,2004
816,43,Altstetten,28368,2004
817,44,Kreis 10,36284,2004
818,45,Höngg,20856,2004
819,46,Wipkingen,15428,2004
820,47,Kreis 11,57762,2004
821,48,Affoltern,18886,2004
822,49,Oerlikon,19375,2004
823,50,Seebach,19501,2004
824,51,Kreis 12,28307,2004
825,52,Saatlen,6697,2004
826,53,Schwamendingen-Mitte,10274,2004
827,54,Hirzenbach,11336,2004
828,9,Kreis 1,5700,2003
829,10,Rathaus,3149,2003
830,11,Hochschulen,723,2003
831,12,Lindenhof,942,2003
832,13,City,886,2003
833,14,Kreis 2,28526,2003
